Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"","","0x3ac67de57002dddf30d05d7dde05eb600d0fa458eeebcd3a8807a5c8a009d924","Success","call","0x4200000000000000000000000000000000000006","Wrapped Ether","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0.226063336552684814 ETH","$499.41"
"","","0xe581abf4b4171983bb808b8bff158294893faff17c8f8798ef61681bd6d236e7","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x4200000000000000000000000000000000000006","Wrapped Ether","2 ETH","$4,418.28"
"","","0xe581abf4b4171983bb808b8bff158294893faff17c8f8798ef61681bd6d236e7","Success","call","0xa6d200fd5cbedbed878cd017128a505cdcd30a71","","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","2 ETH","$4,418.28"
"","","0xabd31f2037c9ec30dceb56a0d541f9f47784fcf3aae6dabe445e82b319745ee1","Success","call","0xa5f565650890fba1824ee0f21ebbbf660a179934","Reservoir: Relay Receiver","0xf70da97812cb96acdf810712aa562db8dfa3dbef","","0.000259943657638642 ETH","$0.57"
"","","0x0c5131633352139301475d048468205a1c43bd39411859dee87db8db81cb0680","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x13e960f39372f480aa499cab13a9c273bc987dd7","","0.000501956965019247 ETH","$1.11"
"","","0x0c5131633352139301475d048468205a1c43bd39411859dee87db8db81cb0680","Success","call","0x4200000000000000000000000000000000000006","Wrapped Ether","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0.000501956965019247 ETH","$1.11"
"27186261","2025-03-05 08:04:29","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xc8bce0d28da30c8bee0463db9209f71954a94be4","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xce480bcf9684ac9927742011f4faa5bb7ea674e5","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0x3cb13b9b39bc40492dafff9d231197a1b7a77c83","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0x5ec939c1b68bc4180d8c49f9e5acc3b317c51833","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xca613bccbac4c5cc20af7a33fe18a80085790f81","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xfff0ae45103ef3716070bba89195ff6fb9860750","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xe656ef341a6cb1678c4001e38ae9fd13b9eb08b8","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0x2465b273edfa3c205c79a778f483cdc26d8f0839","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xa0be090414c39e0a4b3233edd0e1c7f2bf3e5fda","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0xc1873bc4459fb912ce9aa7fd8154fd7477f7e92e","","0 ETH","$0.00"
"","","0x404584ba7adf33d10ffbf1aacd2072b4ef03e737e18c0789e3df12595d16e308","Success","create2","0x0000000000771a79d0fc7f3b7fe270eb4498f20b","","0x68fca0e8bc1c9fa8edab58924ba109fc94e99499","","0 ETH","$0.00"
